id,estado,municipio,poblacion,indice_marginacion 
2787,Baja California,Municipio_0002787,1269390,-2.3726
2788,Colima,Municipio_0002788,120195,1.6869
2789,Sonora,Municipio_0002789,1211396,-1.9895
2790,Nuevo Leon,Municipio_0002790,1862552,1.4743
2791,Sinaloa,Municipio_0002791,909635,-2.4351
2792,Tabasco,Municipio_0002792,1592208,0.085
2793,Guanajuato,Municipio_0002793,1062483,-0.645
2794,Sonora,Municipio_0002794,1820908,0.2624
2795,Queretaro,Municipio_0002795,715443,1.3234
2796,Coahuila,Municipio_0002796,929490,-0.5958
2797,Aguascalientes,Municipio_0002797,447146,-1.5287
2798,Guerrero,Municipio_0002798,298583,-1.8316
2799,Aguascalientes,Municipio_0002799,1614479,-1.9494
2800,Tabasco,Municipio_0002800,119190,-2.0579
2801,Nuevo Leon,Municipio_0002801,1818568,-2.3857
2802,Tlaxcala,Municipio_0002802,739077,-2.0354
2803,Zacatecas,Municipio_0002803,1962330,1.0851
2804,Veracruz,Municipio_0002804,1015448,2.3679
2805,Oaxaca,Municipio_0002805,1208001,0.3241
2806,Puebla,Municipio_0002806,75555,-1.3926
2807,Oaxaca,Municipio_0002807,572756,2.2672
2808,Tamaulipas,Municipio_0002808,1160480,0.8544
2809,Aguascalientes,Municipio_0002809,1577898,-2.1499
2810,Tlaxcala,Municipio_0002810,429311,0.3019
2811,Tabasco,Municipio_0002811,156472,0.6139
2812,Tlaxcala,Municipio_0002812,1726402,-1.1209
2813,Jalisco,Municipio_0002813,409608,-2.3361
2814,Hidalgo,Municipio_0002814,938557,1.3191
2815,Michoacan,Municipio_0002815,1348155,0.562
2816,Tabasco,Municipio_0002816,337308,-0.2499
2817,Tamaulipas,Municipio_0002817,1997013,-0.3048
2818,Baja California,Municipio_0002818,506170,-1.1104
2819,Coahuila,Municipio_0002819,397376,0.1292
2820,Yucatan,Municipio_0002820,543978,1.0941
2821,Guerrero,Municipio_0002821,91956,-2.1061
2822,Oaxaca,Municipio_0002822,186017,-1.9395
2823,Michoacan,Municipio_0002823,947863,0.2709
2824,Quintana Roo,Municipio_0002824,1149494,-0.7623
2825,Quintana Roo,Municipio_0002825,1892603,1.492
2826,Yucatan,Municipio_0002826,1612830,0.7366
2827,Zacatecas,Municipio_0002827,1429918,-0.4111
2828,Nayarit,Municipio_0002828,1459514,-1.7967
2829,Aguascalientes,Municipio_0002829,494110,-1.7438
2830,Oaxaca,Municipio_0002830,408768,1.0179
2831,Campeche,Municipio_0002831,769899,-1.5054
2832,Nuevo Leon,Municipio_0002832,1324526,-2.4645
2833,Mexico,Municipio_0002833,65284,0.3245
2834,Oaxaca,Municipio_0002834,1258186,-0.8785
2835,Tabasco,Municipio_0002835,1001638,-0.1776
2836,Puebla,Municipio_0002836,1234542,0.3538
2837,Yucatan,Municipio_0002837,231076,0.4242
2838,Michoacan,Municipio_0002838,1060217,0.1153
2839,Quintana Roo,Municipio_0002839,1640182,1.125
2840,Zacatecas,Municipio_0002840,254160,-0.4594
2841,Quintana Roo,Municipio_0002841,1909491,-0.872
2842,Baja California,Municipio_0002842,1582842,-2.4708
2843,Sonora,Municipio_0002843,1454903,2.1289
2844,Mexico,Municipio_0002844,1833112,-1.3147
2845,Queretaro,Municipio_0002845,759348,-1.8029
2846,Chihuahua,Municipio_0002846,959961,0.5921
2847,Puebla,Municipio_0002847,1608382,-0.1358
2848,Morelos,Municipio_0002848,245103,-2.4557
2849,Guanajuato,Municipio_0002849,886418,0.7067
2850,Guerrero,Municipio_0002850,1026058,-0.2378
2851,Chiapas,Municipio_0002851,1303126,-0.4849
2852,Veracruz,Municipio_0002852,1522299,-0.816
2853,Michoacan,Municipio_0002853,392946,-1.9422
2854,Aguascalientes,Municipio_0002854,1097237,-1.053
2855,Oaxaca,Municipio_0002855,895680,1.3523
2856,Yucatan,Municipio_0002856,728800,-1.6744
2857,Yucatan,Municipio_0002857,1914661,-2.4811
2858,Sonora,Municipio_0002858,1793746,0.8785
2859,Morelos,Municipio_0002859,228055,-0.3058
2860,Hidalgo,Municipio_0002860,1194357,2.3818
2861,Guanajuato,Municipio_0002861,492735,-1.3366
2862,Morelos,Municipio_0002862,479998,-2.3878
2863,Zacatecas,Municipio_0002863,1819709,-0.6244
2864,Jalisco,Municipio_0002864,1482764,-1.2139
2865,Guerrero,Municipio_0002865,207936,0.7114
2866,Quintana Roo,Municipio_0002866,1945072,1.7122
2867,Guanajuato,Municipio_0002867,1022553,0.7335
2868,Yucatan,Municipio_0002868,699484,-2.0816
2869,Queretaro,Municipio_0002869,1670369,-0.7278
2870,Tamaulipas,Municipio_0002870,877634,2.3874
2871,Tabasco,Municipio_0002871,1599322,0.4104
2872,Nuevo Leon,Municipio_0002872,874369,-1.0955
2873,Tamaulipas,Municipio_0002873,1898024,-2.3668
2874,Colima,Municipio_0002874,1217836,-0.0361
2875,Sonora,Municipio_0002875,365450,-2.3752
2876,Hidalgo,Municipio_0002876,1478563,2.4011
2877,Mexico,Municipio_0002877,620784,0.6494
2878,Tamaulipas,Municipio_0002878,1874131,-2.0323
2879,San Luis Potosi,Municipio_0002879,1947490,0.3077
2880,Zacatecas,Municipio_0002880,1520657,-0.0008
2881,Veracruz,Municipio_0002881,100702,-1.3252
2882,Quintana Roo,Municipio_0002882,471028,0.0334
2883,San Luis Potosi,Municipio_0002883,1911682,0.4315
2884,Chiapas,Municipio_0002884,1724889,-0.4536
2885,Chihuahua,Municipio_0002885,14312,0.6043
2886,Durango,Municipio_0002886,46403,0.0792
2887,Jalisco,Municipio_0002887,340814,2.0001
2888,Mexico,Municipio_0002888,215024,-1.4097
2889,Baja California,Municipio_0002889,1564983,1.144
2890,Chiapas,Municipio_0002890,248043,-1.549
2891,Tlaxcala,Municipio_0002891,540958,-0.7932
2892,Colima,Municipio_0002892,1907949,1.8977
2893,Veracruz,Municipio_0002893,1821404,-0.4019
2894,Colima,Municipio_0002894,1064482,-0.7411
2895,Guerrero,Municipio_0002895,1552992,2.3114
2896,Jalisco,Municipio_0002896,1223702,0.4479
2897,Nuevo Leon,Municipio_0002897,1827222,-0.6443
2898,Tabasco,Municipio_0002898,1374848,-1.1085
2899,Guerrero,Municipio_0002899,1444398,2.3614
2900,Sinaloa,Municipio_0002900,23058,-0.0973
2901,Zacatecas,Municipio_0002901,1755597,1.6121
2902,San Luis Potosi,Municipio_0002902,1792734,-0.8205
2903,Queretaro,Municipio_0002903,1218043,0.7678
2904,Tlaxcala,Municipio_0002904,573859,-0.3514
2905,Guerrero,Municipio_0002905,847700,-0.2188
2906,Guerrero,Municipio_0002906,1274979,-0.1256
2907,Coahuila,Municipio_0002907,608455,0.1298
2908,Veracruz,Municipio_0002908,276089,-1.793
2909,Hidalgo,Municipio_0002909,823607,0.4956
2910,Tamaulipas,Municipio_0002910,501267,0.0918
2911,Jalisco,Municipio_0002911,459916,-1.5089
2912,Guerrero,Municipio_0002912,1628217,-1.1584
2913,Tabasco,Municipio_0002913,1663027,-1.534
2914,Yucatan,Municipio_0002914,681601,2.446
2915,Colima,Municipio_0002915,290531,1.9665
2916,Durango,Municipio_0002916,1864227,-0.1318
2917,San Luis Potosi,Municipio_0002917,756398,-1.0928
2918,Aguascalientes,Municipio_0002918,52212,-2.1297
2919,Tabasco,Municipio_0002919,703700,-1.0579
2920,Guanajuato,Municipio_0002920,1304218,1.6109
2921,Oaxaca,Municipio_0002921,588511,0.2392
2922,Hidalgo,Municipio_0002922,1128022,-1.7308
2923,San Luis Potosi,Municipio_0002923,1617188,1.5616
2924,Zacatecas,Municipio_0002924,1067494,0.75
2925,Aguascalientes,Municipio_0002925,148867,-1.8149
2926,Guerrero,Municipio_0002926,513773,1.9355
2927,Sonora,Municipio_0002927,1248919,-0.3879
2928,Jalisco,Municipio_0002928,310108,-1.1124
2929,Puebla,Municipio_0002929,20928,-1.8364
2930,Guanajuato,Municipio_0002930,109254,1.5404
2931,Campeche,Municipio_0002931,159372,-1.8639
2932,Tabasco,Municipio_0002932,38393,2.1495
2933,Chihuahua,Municipio_0002933,1883183,1.744
2934,Guanajuato,Municipio_0002934,1523446,1.4022
2935,Morelos,Municipio_0002935,521329,0.5852
2936,Morelos,Municipio_0002936,622208,1.7298
2937,Sonora,Municipio_0002937,766101,1.4001
2938,Puebla,Municipio_0002938,1886531,-1.979
2939,Tamaulipas,Municipio_0002939,502805,0.1449
2940,Quintana Roo,Municipio_0002940,1789213,0.7136
2941,Morelos,Municipio_0002941,1499742,1.8567
2942,Jalisco,Municipio_0002942,468533,2.0569
2943,Sinaloa,Municipio_0002943,1334370,-2.3596
2944,Quintana Roo,Municipio_0002944,1713987,-0.0344
2945,Tlaxcala,Municipio_0002945,667125,-0.477
2946,Nuevo Leon,Municipio_0002946,255434,-1.8285
2947,Morelos,Municipio_0002947,587259,-0.6921
2948,Sinaloa,Municipio_0002948,52182,-2.0586
2949,Tabasco,Municipio_0002949,461042,0.5031
2950,Sinaloa,Municipio_0002950,1566719,0.7675
2951,Queretaro,Municipio_0002951,566442,-2.1761
2952,Oaxaca,Municipio_0002952,117252,-2.2177
2953,Jalisco,Municipio_0002953,535777,-0.0309
2954,Durango,Municipio_0002954,754896,-1.2369
2955,Yucatan,Municipio_0002955,1979861,-0.2061
2956,Hidalgo,Municipio_0002956,928313,1.1352
2957,Yucatan,Municipio_0002957,1275405,-2.4827
2958,Morelos,Municipio_0002958,229827,-2.3343
2959,Nuevo Leon,Municipio_0002959,1895111,0.1417
2960,Quintana Roo,Municipio_0002960,1706056,-2.4144
2961,Tabasco,Municipio_0002961,19590,-0.2375
2962,Mexico,Municipio_0002962,1846455,-1.5125
2963,Queretaro,Municipio_0002963,968666,1.6151
2964,Mexico,Municipio_0002964,1919894,-2.3735
2965,Sonora,Municipio_0002965,1939480,-2.4218
2966,Mexico,Municipio_0002966,81357,-0.0163
2967,Michoacan,Municipio_0002967,1363333,0.2025
2968,Nayarit,Municipio_0002968,1447620,1.5839
2969,Sonora,Municipio_0002969,1060928,1.4594
2970,Aguascalientes,Municipio_0002970,1368273,2.145
2971,Tlaxcala,Municipio_0002971,1531105,1.8457
2972,Chihuahua,Municipio_0002972,1280062,1.1363
2973,Nuevo Leon,Municipio_0002973,1300114,-0.2087
2974,Veracruz,Municipio_0002974,1302266,-1.6274
2975,Jalisco,Municipio_0002975,1093657,0.4707
2976,Tlaxcala,Municipio_0002976,561258,1.2496
2977,Yucatan,Municipio_0002977,1772827,-1.0079
2978,Morelos,Municipio_0002978,1066327,2.2738
2979,Tlaxcala,Municipio_0002979,1337510,-0.6939
2980,Sonora,Municipio_0002980,1934991,0.0247
2981,Yucatan,Municipio_0002981,171481,-0.8216
2982,Coahuila,Municipio_0002982,770034,1.5025
2983,Sinaloa,Municipio_0002983,1435262,1.303
2984,Chiapas,Municipio_0002984,1107993,-1.7044
2985,Coahuila,Municipio_0002985,1091850,1.9263
2986,Zacatecas,Municipio_0002986,256204,0.0854
2987,Tabasco,Municipio_0002987,1852594,-0.3539
2988,Colima,Municipio_0002988,666143,0.8974
2989,Michoacan,Municipio_0002989,297340,1.2381
2990,Durango,Municipio_0002990,644650,2.0429
2991,Tlaxcala,Municipio_0002991,90731,1.1489
2992,Durango,Municipio_0002992,1515869,-2.0342
2993,Oaxaca,Municipio_0002993,107638,-0.5149
2994,Coahuila,Municipio_0002994,1766438,-2.3071
2995,Campeche,Municipio_0002995,14042,1.3202
2996,San Luis Potosi,Municipio_0002996,646042,-1.6444
2997,Morelos,Municipio_0002997,1584862,-0.1653
2998,Chiapas,Municipio_0002998,1929676,1.7333
2999,Yucatan,Municipio_0002999,674322,2.1584
3000,Chihuahua,Municipio_0003000,3777,-0.2761
3001,Nayarit,Municipio_0003001,1509805,-1.0478
3002,Chihuahua,Municipio_0003002,19211,1.3595
3003,Hidalgo,Municipio_0003003,410400,0.071
3004,Yucatan,Municipio_0003004,314832,1.6516
3005,Michoacan,Municipio_0003005,929745,0.558
3006,Queretaro,Municipio_0003006,243511,-0.959
3007,Durango,Municipio_0003007,1768191,-0.0634
3008,Veracruz,Municipio_0003008,1859979,1.3743
3009,Colima,Municipio_0003009,218060,-1.002
3010,Yucatan,Municipio_0003010,1832443,-1.3927
3011,Tabasco,Municipio_0003011,1225342,1.9837
3012,Chihuahua,Municipio_0003012,1446606,-0.6193
3013,Quintana Roo,Municipio_0003013,1618606,-1.8401
3014,San Luis Potosi,Municipio_0003014,1229099,0.5755
3015,Veracruz,Municipio_0003015,1781128,-0.4971
3016,Mexico,Municipio_0003016,923231,1.7121
3017,Puebla,Municipio_0003017,1410373,-0.4954
3018,Nayarit,Municipio_0003018,1780002,-2.2158
3019,Veracruz,Municipio_0003019,748852,-2.1557
3020,Tamaulipas,Municipio_0003020,1653830,-0.2633
3021,Sonora,Municipio_0003021,832684,-1.842
3022,Hidalgo,Municipio_0003022,1844039,0.6928
3023,Hidalgo,Municipio_0003023,1338830,2.2386
3024,Hidalgo,Municipio_0003024,441485,1.1963
3025,Sonora,Municipio_0003025,612729,1.9393
3026,Morelos,Municipio_0003026,1593912,2.3326
3027,Morelos,Municipio_0003027,1353769,1.8821
3028,Puebla,Municipio_0003028,1101988,-1.021
3029,Jalisco,Municipio_0003029,613297,1.9795
3030,Jalisco,Municipio_0003030,1453076,-1.2373
3031,San Luis Potosi,Municipio_0003031,1413150,-1.6952
3032,Guerrero,Municipio_0003032,1128909,-0.2545
3033,Tabasco,Municipio_0003033,5595,-0.8923
3034,Durango,Municipio_0003034,756001,1.6705
3035,Durango,Municipio_0003035,1579946,1.7402
3036,Tamaulipas,Municipio_0003036,468554,-0.3904
3037,Nuevo Leon,Municipio_0003037,1088740,0.1258
3038,Coahuila,Municipio_0003038,150991,1.7636
3039,Durango,Municipio_0003039,1949814,-0.3328
3040,Baja California,Municipio_0003040,647559,-0.5664
3041,Colima,Municipio_0003041,517930,-0.9601
3042,Veracruz,Municipio_0003042,555783,0.0144
3043,Campeche,Municipio_0003043,1162744,-1.1615
3044,Campeche,Municipio_0003044,1193585,0.3994
3045,Aguascalientes,Municipio_0003045,654559,1.8287
3046,Sonora,Municipio_0003046,1939757,-2.2315
3047,Chihuahua,Municipio_0003047,1122796,-0.5777
3048,Zacatecas,Municipio_0003048,1814412,1.8381
3049,Baja California,Municipio_0003049,1412554,-0.7141
3050,Coahuila,Municipio_0003050,864248,-0.15
3051,Campeche,Municipio_0003051,869062,2.1439
3052,Sonora,Municipio_0003052,615711,-0.9141
3053,Hidalgo,Municipio_0003053,741355,-0.3748
3054,Mexico,Municipio_0003054,1679566,-0.6165
3055,Coahuila,Municipio_0003055,1302563,-0.1853
3056,Puebla,Municipio_0003056,1625805,0.9405
3057,Aguascalientes,Municipio_0003057,1493744,-1.6167
3058,Aguascalientes,Municipio_0003058,1166233,-0.6479
3059,Michoacan,Municipio_0003059,1431363,1.0575
3060,Baja California,Municipio_0003060,1710650,1.5247
3061,Michoacan,Municipio_0003061,863414,-0.5126
3062,Tlaxcala,Municipio_0003062,1859413,-2.3776
3063,Aguascalientes,Municipio_0003063,1872595,-1.7882
3064,Aguascalientes,Municipio_0003064,236260,1.4824
3065,Aguascalientes,Municipio_0003065,1384206,-0.7168
3066,Tabasco,Municipio_0003066,1015437,0.0987
3067,Morelos,Municipio_0003067,250640,0.3283
3068,San Luis Potosi,Municipio_0003068,1621488,2.3621
3069,Chiapas,Municipio_0003069,1117316,2.2585
3070,Durango,Municipio_0003070,1157959,1.578
3071,Nayarit,Municipio_0003071,281877,-0.8462
3072,Guerrero,Municipio_0003072,246647,-1.4172
3073,Veracruz,Municipio_0003073,81228,-1.0457
3074,Aguascalientes,Municipio_0003074,302165,2.4046
3075,Guerrero,Municipio_0003075,357361,0.7497
3076,Colima,Municipio_0003076,1157352,-2.2658
3077,Sonora,Municipio_0003077,950892,0.5479
3078,Coahuila,Municipio_0003078,1711455,-1.4428
3079,Veracruz,Municipio_0003079,112155,0.8186
3080,Sinaloa,Municipio_0003080,947895,-0.9704
3081,Puebla,Municipio_0003081,684030,1.8077
3082,Aguascalientes,Municipio_0003082,1395174,-0.1642
3083,Hidalgo,Municipio_0003083,1985619,-2.4796
3084,Hidalgo,Municipio_0003084,846357,-0.7142
3085,Hidalgo,Municipio_0003085,752077,0.2881
3086,Coahuila,Municipio_0003086,440527,2.1131
3087,Chiapas,Municipio_0003087,1612148,0.6102
3088,Queretaro,Municipio_0003088,1680591,-0.0134
3089,Sonora,Municipio_0003089,982687,0.1632
3090,Campeche,Municipio_0003090,1159190,2.2731
3091,San Luis Potosi,Municipio_0003091,975963,-0.4282
3092,Sonora,Municipio_0003092,1726547,-1.0149
3093,San Luis Potosi,Municipio_0003093,1409525,-2.0837
3094,Guerrero,Municipio_0003094,1540162,1.4341
3095,Guanajuato,Municipio_0003095,1794082,1.6326
3096,Durango,Municipio_0003096,957961,2.1404
3097,Sinaloa,Municipio_0003097,715649,0.8757
3098,Hidalgo,Municipio_0003098,592405,0.518
3099,Tabasco,Municipio_0003099,1368561,-1.5278
3100,Quintana Roo,Municipio_0003100,31563,1.3543
3101,Guerrero,Municipio_0003101,1182950,0.3123
3102,Sinaloa,Municipio_0003102,992035,-0.9686
3103,Queretaro,Municipio_0003103,1276006,-1.983
3104,Oaxaca,Municipio_0003104,840829,-0.7445
3105,Puebla,Municipio_0003105,1650114,0.4342
3106,Zacatecas,Municipio_0003106,123422,-1.3817
3107,Mexico,Municipio_0003107,1620794,2.0702
3108,Nayarit,Municipio_0003108,1961838,-2.4489
3109,Sonora,Municipio_0003109,446171,-0.977
3110,Mexico,Municipio_0003110,224029,2.3142
3111,Coahuila,Municipio_0003111,1771819,0.5524
3112,Coahuila,Municipio_0003112,1161442,1.301
3113,San Luis Potosi,Municipio_0003113,478806,-1.844
3114,Nuevo Leon,Municipio_0003114,1363445,1.19
3115,Chihuahua,Municipio_0003115,1145614,-0.2016
3116,Tabasco,Municipio_0003116,1418728,-1.1036
3117,Aguascalientes,Municipio_0003117,1219106,-0.6329
3118,Zacatecas,Municipio_0003118,709632,-1.8556
3119,Campeche,Municipio_0003119,308497,0.3026
3120,Hidalgo,Municipio_0003120,1829328,1.8381
3121,Tabasco,Municipio_0003121,1544369,2.1047
3122,San Luis Potosi,Municipio_0003122,661029,1.5091
3123,Michoacan,Municipio_0003123,635926,-0.4765
3124,Zacatecas,Municipio_0003124,1520903,0.9208
3125,Sonora,Municipio_0003125,744446,1.1318
3126,Nuevo Leon,Municipio_0003126,1450841,2.2815
3127,Baja California,Municipio_0003127,85679,-0.9141
3128,Yucatan,Municipio_0003128,1049821,-1.484
3129,Coahuila,Municipio_0003129,495828,-2.4686
3130,San Luis Potosi,Municipio_0003130,1180673,0.3996
3131,Nuevo Leon,Municipio_0003131,501951,-1.3651
3132,Veracruz,Municipio_0003132,1086002,-1.4278
3133,Oaxaca,Municipio_0003133,391895,1.6144
3134,Guanajuato,Municipio_0003134,88623,0.8105
3135,Nayarit,Municipio_0003135,1360124,-1.0852
3136,Chiapas,Municipio_0003136,47815,1.6352
3137,Quintana Roo,Municipio_0003137,1978373,0.8352
3138,Guerrero,Municipio_0003138,1457461,0.3397
3139,Nayarit,Municipio_0003139,81770,1.8017
3140,Sonora,Municipio_0003140,768323,0.1635
3141,Hidalgo,Municipio_0003141,1145449,1.4387
3142,Sinaloa,Municipio_0003142,1335255,2.1899
3143,Sinaloa,Municipio_0003143,92382,1.2028
3144,Sinaloa,Municipio_0003144,981173,2.4925
3145,San Luis Potosi,Municipio_0003145,300968,-0.5167
3146,Oaxaca,Municipio_0003146,1714103,0.1273
3147,Durango,Municipio_0003147,1427349,0.4264
3148,Chiapas,Municipio_0003148,1674345,0.8444
3149,Michoacan,Municipio_0003149,1532718,-2.0002
3150,Campeche,Municipio_0003150,1466159,-0.4712
3151,Oaxaca,Municipio_0003151,1020749,-0.5615
3152,Veracruz,Municipio_0003152,118989,0.5188
3153,Tabasco,Municipio_0003153,168790,1.1156
3154,Jalisco,Municipio_0003154,1692786,-0.1683
3155,Guerrero,Municipio_0003155,545262,1.5514
3156,Nuevo Leon,Municipio_0003156,184113,-2.2967
3157,Oaxaca,Municipio_0003157,1426996,-0.5293
3158,Oaxaca,Municipio_0003158,120764,-2.0532
3159,Veracruz,Municipio_0003159,1056869,-0.2988
3160,Nuevo Leon,Municipio_0003160,1264662,-0.8313
3161,Hidalgo,Municipio_0003161,1277171,-0.4844
3162,Chiapas,Municipio_0003162,1421692,0.6289
3163,Baja California,Municipio_0003163,696942,0.6468
3164,Sinaloa,Municipio_0003164,1399047,-2.2053
3165,Chihuahua,Municipio_0003165,720863,2.0242
3166,Baja California,Municipio_0003166,298207,-2.2356
3167,Tamaulipas,Municipio_0003167,344008,1.5984
3168,Quintana Roo,Municipio_0003168,899619,-1.4168
3169,Yucatan,Municipio_0003169,1446740,1.1107
3170,Tamaulipas,Municipio_0003170,1616638,-1.3655
3171,Queretaro,Municipio_0003171,1538496,1.4303
3172,Oaxaca,Municipio_0003172,979079,0.5554
3173,Puebla,Municipio_0003173,2038,1.0212
3174,Chihuahua,Municipio_0003174,104092,-2.326
3175,Coahuila,Municipio_0003175,1332776,-0.12
3176,Campeche,Municipio_0003176,853087,-0.4134
3177,Jalisco,Municipio_0003177,1231761,-1.1965
3178,Jalisco,Municipio_0003178,992965,-1.6054
3179,Queretaro,Municipio_0003179,1375343,1.4184
3180,Jalisco,Municipio_0003180,1855410,2.158
3181,Guanajuato,Municipio_0003181,783092,-2.1446
3182,Quintana Roo,Municipio_0003182,659442,0.0446
3183,Baja California,Municipio_0003183,645133,0.8635
3184,Nuevo Leon,Municipio_0003184,1845480,-0.7092
3185,Oaxaca,Municipio_0003185,805535,-1.6903
3186,Aguascalientes,Municipio_0003186,1972760,-0.8632
3187,Guerrero,Municipio_0003187,970345,-1.3773
3188,Sonora,Municipio_0003188,342320,-0.9892
3189,Hidalgo,Municipio_0003189,124938,2.3069
3190,Chihuahua,Municipio_0003190,225760,1.6513
3191,Zacatecas,Municipio_0003191,1052343,-1.9207
3192,Mexico,Municipio_0003192,1447535,-1.074
3193,Chihuahua,Municipio_0003193,1121150,0.0056
3194,Chiapas,Municipio_0003194,483088,-0.2855
3195,Sonora,Municipio_0003195,588173,-0.2718
3196,Jalisco,Municipio_0003196,738145,-0.9905
3197,Tlaxcala,Municipio_0003197,1799874,0.7196
3198,Zacatecas,Municipio_0003198,1244001,-0.9085
3199,Yucatan,Municipio_0003199,109819,-0.0607
3200,Tabasco,Municipio_0003200,78928,2.3837
3201,Colima,Municipio_0003201,220747,0.9645
3202,Quintana Roo,Municipio_0003202,1240258,2.0175
3203,Michoacan,Municipio_0003203,828950,2.026
3204,Hidalgo,Municipio_0003204,950355,-2.2994
3205,Durango,Municipio_0003205,1092537,1.6283
3206,Puebla,Municipio_0003206,1327732,1.7748
3207,Yucatan,Municipio_0003207,1568965,2.3922
3208,Campeche,Municipio_0003208,437622,0.1243
3209,Jalisco,Municipio_0003209,842385,2.4445
3210,Sinaloa,Municipio_0003210,910788,2.0611
3211,Tabasco,Municipio_0003211,1401438,-1.4036
3212,Nayarit,Municipio_0003212,247842,-0.7549
3213,Jalisco,Municipio_0003213,231401,0.4259
3214,Mexico,Municipio_0003214,1017586,0.5572
3215,Michoacan,Municipio_0003215,710397,-0.659
3216,Aguascalientes,Municipio_0003216,404710,0.0608
3217,Quintana Roo,Municipio_0003217,1457015,-1.391
3218,Chihuahua,Municipio_0003218,1994837,2.3026
3219,Campeche,Municipio_0003219,1812120,-0.5737
3220,Tlaxcala,Municipio_0003220,1112411,-2.4845
3221,Campeche,Municipio_0003221,1148745,-0.7234
3222,Guerrero,Municipio_0003222,1447702,2.1015
3223,Puebla,Municipio_0003223,1413014,-2.3733
3224,Nuevo Leon,Municipio_0003224,1184578,-0.6706
3225,Jalisco,Municipio_0003225,113483,2.0503
3226,Zacatecas,Municipio_0003226,620022,1.7957
3227,Tamaulipas,Municipio_0003227,851538,-1.1303
3228,Yucatan,Municipio_0003228,1841738,1.5236
3229,Guanajuato,Municipio_0003229,364169,-2.4127
3230,Campeche,Municipio_0003230,1111034,-1.4195
3231,Sinaloa,Municipio_0003231,109234,0.4863
3232,Veracruz,Municipio_0003232,1075293,1.6936
3233,Quintana Roo,Municipio_0003233,1171094,0.9146
3234,Chihuahua,Municipio_0003234,338382,-0.2674
3235,Nayarit,Municipio_0003235,257789,-0.9739
3236,Morelos,Municipio_0003236,1096556,-0.742
3237,Mexico,Municipio_0003237,776843,0.517
3238,Quintana Roo,Municipio_0003238,819366,-0.2326
3239,Coahuila,Municipio_0003239,1049089,2.076
3240,Tamaulipas,Municipio_0003240,743768,1.1258
3241,Coahuila,Municipio_0003241,937670,-0.9173
3242,Quintana Roo,Municipio_0003242,911462,-1.9485
3243,Sinaloa,Municipio_0003243,174991,0.2399
3244,Puebla,Municipio_0003244,4172,-0.4923
3245,Zacatecas,Municipio_0003245,1235268,-0.2158
3246,Tabasco,Municipio_0003246,163247,0.5794
3247,Nayarit,Municipio_0003247,1486637,0.2014
3248,Colima,Municipio_0003248,269411,-2.105
3249,Colima,Municipio_0003249,1858798,1.8187
3250,San Luis Potosi,Municipio_0003250,1515755,1.402
3251,Zacatecas,Municipio_0003251,56976,1.1537
3252,Coahuila,Municipio_0003252,537680,-1.8574
3253,Tabasco,Municipio_0003253,1796333,-0.1385
3254,Oaxaca,Municipio_0003254,107829,2.3961
3255,Zacatecas,Municipio_0003255,1776764,1.2688
3256,Tamaulipas,Municipio_0003256,906157,-1.4064
3257,Sinaloa,Municipio_0003257,972985,1.7941
3258,Mexico,Municipio_0003258,530118,1.4781
3259,Coahuila,Municipio_0003259,93541,1.1065
3260,Guanajuato,Municipio_0003260,1867568,1.3356
3261,Yucatan,Municipio_0003261,1193767,-1.4932
3262,Colima,Municipio_0003262,971784,-0.7321
3263,Michoacan,Municipio_0003263,1945781,2.2443
3264,Veracruz,Municipio_0003264,394394,1.9526
3265,Tabasco,Municipio_0003265,177443,1.1193
3266,Guerrero,Municipio_0003266,1742030,0.7973
3267,Colima,Municipio_0003267,1826516,1.2306
3268,Sonora,Municipio_0003268,1461144,0.2482
3269,Chiapas,Municipio_0003269,16811,-2.0003
3270,Sonora,Municipio_0003270,1686124,-2.188
3271,Jalisco,Municipio_0003271,338789,-1.0277
3272,Tabasco,Municipio_0003272,239154,-0.654
3273,Durango,Municipio_0003273,1564387,0.5601
3274,Morelos,Municipio_0003274,704116,1.4541
3275,Tabasco,Municipio_0003275,35022,-1.5954
3276,Sonora,Municipio_0003276,267844,-2.4224
3277,Baja California,Municipio_0003277,392834,1.9968
3278,Sinaloa,Municipio_0003278,432822,1.2965
3279,Nuevo Leon,Municipio_0003279,578304,-1.8718
3280,Tabasco,Municipio_0003280,801754,2.2624
3281,Sinaloa,Municipio_0003281,535352,-1.3192
3282,Guerrero,Municipio_0003282,313791,-1.6759
3283,San Luis Potosi,Municipio_0003283,1960209,-0.336
3284,Baja California,Municipio_0003284,513371,1.7119
3285,Tabasco,Municipio_0003285,1944434,-2.069
3286,Durango,Municipio_0003286,176753,0.2163
3287,Chiapas,Municipio_0003287,719859,-2.3229
3288,Sinaloa,Municipio_0003288,1104885,-0.0278
3289,Chihuahua,Municipio_0003289,205510,-1.5342
3290,Hidalgo,Municipio_0003290,1706858,0.84
3291,Tlaxcala,Municipio_0003291,1890280,-2.3738
3292,Tabasco,Municipio_0003292,1045902,-1.9518
3293,Aguascalientes,Municipio_0003293,319491,1.4978
3294,San Luis Potosi,Municipio_0003294,820764,-0.0496
3295,Nayarit,Municipio_0003295,966312,1.3763
3296,Baja California,Municipio_0003296,615663,-0.2313
3297,Veracruz,Municipio_0003297,794682,1.7791
3298,Guerrero,Municipio_0003298,791376,0.258
